airport,lat,lon
M95,933.70910583,-87.81520861
0J4,331.04247361,-86.31156111
5R4,530.42766667,-87.70097222
NBJ,530.39031386,-87.63156008
67A,131.97237083,-86.59164139
RD,434.39277778,-85.66500000
4A9,934.47369444,-85.72138889
OZR,31.27577694,-85.71335111
GAD,33.97040528,-86.09128861
33J,931.05262500,-85.86894444
7A0,132.68154028,-87.66206917
PRN,631.84569444,-86.61075000
JKA,830.28963889,-87.67177778
8A1,734.40618919,-86.26087028
1M4,434.28033333,-87.60041667
HAB,534.11694444,-87.99822222
5M0,34.40822222,-86.93294444
M38,734.91613194,-86.64704583
HDL,531.36413889,-85.31252778
HSV,834.63719694,-86.77505417
3M5,134.74736111,-86.46097222
RD,234.49054167,-86.67343333
MDQ,834.85935222,-86.55751389
4R3,131.47055972,-87.89590139
JFX,433.90200000,-87.31383333
7A3,432.81184333,-85.22948639
04A,331.73638694,-86.26245464
A08,932.51050000,-87.38477778
BFM,30.62678056,-88.06809083
BLVD,230.67935694,-88.20000333
MOB,30.69141667,-88.24283333
MVC,831.45805556,-87.35102778
MXF,632.38294444,-86.36577778
MGM,32.30063889,-86.39397222
MSL,34.74530556,-87.61022222
20A,333.97127778,-86.38038889
71J,531.43181200,-85.62053392
PLR,633.55883333,-86.24905556
1A9,32.43872222,-86.51269444
HUA,34.67866083,-86.68479056
3M8,933.38675278,-88.00657917
7A5,933.12967778,-85.37221528
M22,534.44508333,-87.71163889
2R5,430.50191667,-88.27511111
1A4,331.10370278,-86.06260000
4A6,234.68870444,-86.00593194
SEM,132.34394667,-86.98780556
RD,31.11601056,-85.62548889
7A6,334.88627639,-85.80328889
NFD,30.50762947,-87.64687736
SCD,633.17183333,-86.30552778
ASN,533.56950417,-86.05120139
TOI,31.86000000,-86.01388889
TCL,33.22062889,-87.61140389
06A,832.46047222,-85.68002778
07A,932.16759250,-85.81119667
M55,833.84671889,-88.11547583
08A,332.52733333,-86.33102778
M73,134.41247944,-91.46530556
ADF,534.09980556,-93.06608333
CVK,836.26488889,-91.56266667
M60,635.27190556,-91.27033056
M74,835.29947222,-91.55769444
BVX,435.72622222,-91.64744444
SUZ,934.59038889,-92.47944444
VBT,136.34479806,-94.21950833
4M1,336.38134194,-93.62454028
