airport,runway,lat,lon,reciprocal,reciprocal_lat,reciprocal_lon
AKN,12,58.68394000,-156.66472650,30,58.66768889,-156.62989722
AKN,30,58.66768889,-156.62989722,12,58.68394000,-156.66472650
AKN,18,58.68327319,-156.64878164,36,58.67272214,-156.65471064
AKN,36,58.67272214,-156.65471064,18,58.68327319,-156.64878164
IIK,17,59.93598644,-164.02765436,35,59.92724431,-164.02857017
IIK,35,59.92724431,-164.02857017,17,59.93598644,-164.02765436
KVL,12,67.73915361,-164.57085361,30,67.73314889,-164.55613833
KVL,30,67.73314889,-164.55613833,12,67.73915361,-164.57085361
AKW,02,55.57392561,-133.08362217,20,55.58454350,-133.06837283
AKW,20,55.58454350,-133.06837283,02,55.57392561,-133.08362217
OBU,09,66.91385800,-156.91078183,27,66.91082083,-156.88388239
OBU,27,66.91082083,-156.88388239,09,66.91385800,-156.91078183
ADQ,01,57.73965783,-152.49304878,19,57.75233936,-152.48329883
ADQ,19,57.75233936,-152.48329883,01,57.73965783,-152.49304878
ADQ,08,57.75219169,-152.51899286,26,57.75208314,-152.51317058
ADQ,26,57.75208314,-152.51317058,08,57.75219169,-152.51899286
ADQ,11,57.75492264,-152.50226958,29,57.75419675,-152.50046928
ADQ,29,57.75419675,-152.50046928,11,57.75492264,-152.50226958
9K2,07,59.43255833,-154.81133889,25,59.43401389,-154.79384722
9K2,25,59.43401389,-154.79384722,07,59.43255833,-154.81133889
JZZ,09,59.72799039,-157.26885431,27,59.72551961,-157.25165872
JZZ,27,59.72551961,-157.25165872,09,59.72799039,-157.26885431
DUY,01,59.95858611,-162.88304444,19,59.96467500,-162.87814167
DUY,19,59.96467500,-162.87814167,01,59.95858611,-162.88304444
2A9,02,63.02549861,-163.53973525,20,63.03565444,-163.52552667
2A9,20,63.03565444,-163.52552667,02,63.02549861,-163.53973525
OTZ,09,66.88954792,-162.61071117,27,66.88932467,-162.60798642
OTZ,27,66.88932467,-162.60798642,09,66.88954792,-162.61071117
OTZ,18,66.88510664,-162.60932386,36,66.87482444,-162.61580328
OTZ,36,66.87482444,-162.61580328,18,66.88510664,-162.60932386
KKA,01,64.93576694,-161.15819639,19,64.94326722,-161.15033472
KKA,19,64.94326722,-161.15033472,01,64.93576694,-161.15819639
